variant_chr,magi_num,seed_num
Extended taper,32750,100
Extended taper,33000,100
Extended taper,33250,100
Extended taper,33500,100
Extended taper,33750,100
Extended taper,34000,100
Extended taper,34250,100
Extended taper,34500,100
Extended taper,34750,100
Extended taper,35000,100
Extended taper,35250,100
Extended taper,35500,100
Extended taper,35750,100
Extended taper,36000,100
Extended taper,36250,100
Extended taper,36500,100
Extended taper,36750,100
Extended taper,37000,100
Extended taper,37250,100
Extended taper,37500,100
Extended taper,37750,100
Extended taper,38000,100
Extended taper,38250,100
Extended taper,38500,100
Extended taper,38750,100
Extended taper,39000,100
Extended taper,39250,100
Extended taper,39500,100
Extended taper,39750,100
Extended taper,40000,100
Extended taper,40250,100
Extended taper,40500,100
Extended taper,40750,100
Extended taper,41000,100
Extended taper,41250,100
Extended taper,41500,100
Extended taper,41750,100
Extended taper,42000,100
Extended taper,42250,100
Extended taper,42500,100
Extended taper,42750,100
Extended taper,43000,99.81783342353698
Extended taper,43250,97.49119292018545
Extended taper,43500,95.16455241683393
Extended taper,43750,92.8379119134824
Extended taper,44000,90.51127141013086
Extended taper,44250,88.18463090677933
Extended taper,44500,85.8579904034278
Extended taper,44750,83.53134990007628
Extended taper,45000,81.20470939672475
Extended taper,45250,78.87806889337323
Extended taper,45500,76.5514283900217
Extended taper,45750,74.22478788667016
Extended taper,46000,71.89814738331863
Extended taper,46250,69.5715068799671
Extended taper,46500,67.24486637661558
Extended taper,46750,64.91822587326405
Extended taper,47000,62.59158536991252
Extended taper,47250,60.26494486656099
Extended taper,47500,57.93830436320946
Extended taper,47750,55.611663859857934
Extended taper,48000,53.2850233565064
Extended taper,48250,50.95838285315487
Extended taper,48500,48.631742349803346
Extended taper,48750,46.30510184645182
Extended taper,49000,43.978461343100285
Extended taper,49250,41.65182083974876
Extended taper,49500,39.32518033639723
Extended taper,49750,36.9985398330457
Extended taper,50000,34.67189932969417
Extended taper,50250,32.34525882634264
Extended taper,50500,30.018618322991113
Extended taper,50750,27.691977819639586
Extended taper,51000,25.365337316288056
Extended taper,51250,23.038696812936525
Extended taper,51500,20.712056309584998
Extended taper,51750,18.385415806233468
Extended taper,52000,16.05877530288194
Extended taper,52250,13.73213479953041
Extended taper,52500,11.405494296178881
Extended taper,52750,9.078853792827353
Extended taper,53000,6.752213289475823
Extended taper,53250,4.425572786124294
Extended taper,53500,2.0989322827727657
Extended taper,53750,0
Extended taper,54000,0
